ID,Gender,Car,Reality,inc,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,wkphone,phone,email,famsize,MONTHS_BALANCE,dep_value,target,Age,ChldNo_1,ChldNo_2More,gp_inc_high,gp_inc_medium,gp_Age_high,gp_Age_highest,gp_Age_lowest,gp_Age_medium,worktm,gp_worktm_high,gp_worktm_highest,gp_worktm_low,gp_worktm_medium,famsizegp_1,famsizegp_3more,inctp_Commercial associate,inctp_State servant,occyp_Laborwk,occyp_hightecwk,houtp_Co-op apartment,houtp_Municipal apartment,houtp_Office apartment,houtp_Rented apartment,houtp_With parents,edutp_Higher education,edutp_Incomplete higher,edutp_Lower secondary,famtp_Civil marriage,famtp_Separated,famtp_Single / not married,famtp_Widow
5009938,0,0,1,0.01575,-10710,-2351,1,0,0,0,4,-39,1,1,29,0,1,0,1,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5010535,0,1,0,0.0135,-13928,-3052,1,0,0,0,4,-52,1,1,38,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5010541,0,1,0,0.0135,-13928,-3052,1,0,0,0,4,-52,1,1,38,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5010864,1,1,1,0.045,-18173,-678,1,0,1,1,3,-51,6,1,49,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5010923,0,0,0,0.00945,-22265,-829,1,0,0,1,1,-56,1,1,61,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5018498,0,1,1,0.009,-18950,-1002,1,1,1,0,2,-54,14,1,51,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5018501,0,1,1,0.009,-18950,-1002,1,1,1,0,2,-34,14,1,51,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5018503,0,1,1,0.009,-18950,-1002,1,1,1,0,2,-55,14,1,51,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5021430,0,0,1,0.0126,-18907,-2470,1,0,0,0,1,-14,9,1,51,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5021431,0,0,1,0.0126,-18907,-2470,1,0,0,0,1,-22,9,1,51,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5021802,0,0,1,0.0225,-12325,-187,1,0,0,0,2,-28,2,1,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5022617,1,1,1,0.02025,-12022,-1674,1,0,0,1,2,-56,5,1,32,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5023534,0,0,1,0.02025,-13920,-904,1,0,0,0,1,-40,2,1,38,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5023536,0,0,1,0.02025,-13920,-904,1,0,0,0,1,-37,2,1,38,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5023640,1,1,0,0.0225,-14776,-2212,1,0,0,0,4,-60,1,1,40,0,1,1,0,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5023644,1,1,0,0.0225,-14776,-2212,1,0,0,0,4,-60,1,1,40,0,1,1,0,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5023645,1,1,0,0.0225,-14776,-2212,1,0,0,0,4,-51,1,1,40,0,1,1,0,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5024448,1,1,1,0.018,-12604,-2620,1,1,1,0,2,-48,1,1,34,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5025155,0,0,1,0.02025,-10106,-93,1,0,1,0,2,-58,5,1,27,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5029439,0,1,1,0.0225,-17402,-3153,1,0,1,0,2,-36,1,1,47,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
